year,dutch_avgtemp,global_avgtemp
1750,10.04,8.72
1751,9.63,7.98
1752,5.97,5.78
1753,9.08,8.39
1754,8.72,8.47
1755,8.55,8.36
1756,9.17,8.85
1757,9.05,9.02
1758,8.79,6.74
1759,9.64,7.99
1760,9.14,7.19
1761,9.41,8.77
1762,8.58,8.61
1763,8.44,7.50
1764,9.07,8.40
1765,8.87,8.25
1766,8.85,8.41
1767,8.50,8.22
1768,8.61,6.78
1769,8.81,7.69
1770,8.84,7.69
1771,8.22,7.85
1772,9.30,8.19
1773,9.54,8.22
1774,8.90,8.77
1775,9.93,9.18
1776,8.89,8.30
1777,8.78,8.26
1778,9.56,8.54
1779,10.57,8.98
1780,9.25,9.43
1781,10.12,8.10
1782,8.36,7.90
1783,9.78,7.68
1784,7.80,7.86
1785,8.00,7.36
1786,7.96,8.26
1787,9.18,8.03
1788,8.84,8.45
1789,8.64,8.33
1790,9.16,7.98
1791,9.29,8.23
1792,9.10,8.09
1793,9.17,8.23
1794,9.70,8.53
1795,8.84,8.35
1796,9.18,8.27
1797,9.52,8.51
1798,9.41,8.67
1799,7.26,8.51
1800,8.88,8.48
1801,9.36,8.59
1802,8.86,8.58
1803,8.09,8.50
1804,8.59,8.84
1805,7.47,8.56
1806,9.56,8.43
1807,9.01,8.28
1808,8.41,7.63
1809,8.64,7.08
1810,8.47,6.92
1811,10.07,6.86
1812,8.00,7.05
1813,8.83,7.74
1814,7.76,7.59
1815,8.75,7.24
1816,7.78,6.94
1817,8.94,6.98
1818,9.47,7.83
1819,9.55,7.37
1820,8.11,7.62
1821,9.29,8.09
1822,10.19,8.19
1823,8.44,7.72
1824,9.51,8.55
1825,9.75,8.39
1826,9.78,8.36
1827,8.98,8.81
1828,9.63,8.17
1829,7.20,7.94
1830,8.29,8.52
1831,9.82,7.64
1832,8.65,7.45
1833,9.11,8.01
1834,10.49,8.15
1835,9.13,7.39
1836,9.04,7.70
1837,8.52,7.38
1838,7.62,7.51
1839,8.92,7.63
1840,8.35,7.80
1841,9.34,7.69
1842,9.11,8.02
1843,9.20,8.17
1844,8.24,7.65
1845,7.99,7.85
1846,10.26,8.55
1847,8.62,8.09
1848,9.11,7.98
1849,8.80,7.98
1850,8.46,7.90
1851,8.66,8.18
1852,9.66,8.10
1853,7.80,8.04
1854,8.91,8.21
1855,7.22,8.11
1856,8.79,8.00
1857,9.82,7.76
1858,8.57,8.10
1859,9.81,8.25
1860,7.84,7.96
1861,9.02,7.85
1862,9.55,7.56
1863,9.71,8.11
1864,7.77,7.98
1865,9.37,8.18
1866,9.50,8.29
1867,8.81,8.44
1868,10.40,8.25
1869,8.98,8.43
1870,8.21,8.20
1871,7.96,8.12
1872,10.07,8.19
1873,9.27,8.35
1874,9.06,8.43
1875,8.86,7.86
1876,9.11,8.08
1877,9.11,8.54
1878,9.28,8.83
1879,7.36,8.17
1880,9.29,8.12
1881,8.27,8.27
1882,9.20,8.13
1883,9.00,7.98
1884,9.74,7.77
1885,8.55,7.92
1886,8.80,7.95
1887,7.99,7.91
1888,7.84,8.09
1889,8.54,8.32
1890,8.26,7.97
1891,8.40,8.02
1892,8.34,8.07
1893,9.30,8.06
1894,9.17,8.16
1895,8.38,8.15
1896,8.80,8.21
1897,9.00,8.29
1898,9.57,8.18
1899,9.32,8.40
1900,9.35,8.50
1901,8.80,8.54
1902,8.32,8.30
1903,9.29,8.22
1904,9.12,8.09
1905,8.88,8.23
1906,9.30,8.38
1907,8.73,7.95
1908,8.60,8.19
1909,8.30,8.18
1910,9.44,8.22
1911,9.93,8.18
1912,9.21,8.17
1913,9.64,8.30
1914,9.69,8.59
1915,8.80,8.59
1916,9.20,8.23
1917,8.32,8.02
1918,9.38,8.13
1919,8.10,8.38
1920,9.50,8.36
1921,10.05,8.57
1922,8.26,8.41
1923,8.78,8.42
1924,8.63,8.51
1925,9.18,8.53
1926,9.63,8.73
1927,8.99,8.52
1928,9.36,8.63
1929,8.40,8.24
1930,9.76,8.63
1931,8.83,8.72
1932,9.44,8.71
1933,9.10,8.34
1934,10.22,8.63
1935,9.65,8.52
1936,9.44,8.55
1937,9.57,8.70
1938,9.79,8.86
1939,9.61,8.76
1940,8.05,8.76
1941,8.54,8.77
1942,8.31,8.73
1943,9.83,8.76
1944,9.38,8.85
1945,10.03,8.58
1946,9.17,8.68
1947,9.41,8.80
1948,9.96,8.75
1949,10.12,8.59
1950,9.48,8.37
1951,9.57,8.63
1952,8.94,8.64
1953,9.82,8.87
1954,8.98,8.56
1955,8.84,8.63
1956,8.15,8.28
1957,9.89,8.73
1958,9.40,8.77
1959,10.17,8.73
1960,9.69,8.58
1961,9.94,8.80
1962,8.12,8.75
1963,7.81,8.86
1964,9.18,8.41
1965,8.74,8.53
1966,9.47,8.60
1967,9.92,8.70
1968,9.14,8.52
1969,9.18,8.60
1970,9.07,8.70
1971,9.51,8.60
1972,8.96,8.50
1973,9.44,8.95
1974,9.73,8.47
1975,9.87,8.74
1976,9.82,8.35
1977,9.66,8.85
1978,8.95,8.69
1979,8.45,8.73
1980,9.12,8.98
1981,9.26,9.17
1982,9.98,8.64
1983,9.95,9.03
1984,9.34,8.69
1985,8.42,8.66
1986,8.79,8.83
1987,8.66,8.99
1988,10.21,9.20
1989,10.57,8.92
1990,10.63,9.23
1991,9.32,9.18
1992,10.39,8.84
1993,9.47,8.87
1994,10.45,9.04
1995,10.25,9.35
1996,8.32,9.04
1997,10.03,9.20
1998,10.18,9.52
1999,10.74,9.29
2000,10.75,9.20
2001,10.24,9.41
2002,10.64,9.57
2003,10.28,9.53
2004,10.27,9.32
2005,10.48,9.70
2006,10.97,9.53
2007,11.04,9.73
2008,10.42,9.43
2009,10.33,9.51
2010,8.84,9.70
2011,10.73,9.52
2012,10.08,9.51
2013,9.54,9.61
